hidden_layers,activation_fn,epochs,learning_rate,batch_size,accuracy
[8],sigmoid,25,1.0,32,0.736218864842793
[8],sigmoid,25,1.0,64,0.7694977541853818
[8],sigmoid,25,1.0,128,0.763985300122499
[8],sigmoid,25,1.0,256,0.7505104124132299
[8],sigmoid,25,1.0,512,0.7582686810943242
[8],sigmoid,25,0.1,16,0.7603103307472437
[8],sigmoid,25,0.1,32,0.7562270314414047
[8],sigmoid,25,0.1,64,0.7582686810943242
[8],sigmoid,25,0.1,128,0.750306247447938
[8],sigmoid,25,0.1,256,0.7427521437321356
[8],sigmoid,25,0.1,512,0.7060024499795835
[8],sigmoid,25,0.01,16,0.754185381788485
[8],sigmoid,25,0.01,32,0.7321355655369539
[8],sigmoid,25,0.01,64,0.6659861167823602
[8],sigmoid,25,0.01,128,0.6651694569211923
[8],sigmoid,25,0.01,256,0.6661902817476522
[8],sigmoid,25,0.01,512,0.6651694569211923
[8],sigmoid,25,0.001,16,0.6678236014699878
[8],sigmoid,25,0.001,32,0.6651694569211923
[8],sigmoid,25,0.001,64,0.6649652919559004
[8],sigmoid,25,0.001,128,0.666394446712944
[8],sigmoid,25,0.001,256,0.662106982441813
[8],sigmoid,25,0.001,512,0.6647611269906084
[8],sigmoid,25,0.0001,16,0.6651694569211923
[8],sigmoid,25,0.0001,32,0.6653736218864843
[8],sigmoid,25,0.0001,64,0.6651694569211923
[8],sigmoid,25,0.0001,128,0.6651694569211923
[8],sigmoid,25,0.0001,256,0.6551653736218865
[8],sigmoid,25,0.0001,512,0.337893017558187
[8],sigmoid,50,10.0,16,0.6651694569211923
[8],sigmoid,50,10.0,32,0.7327480604328297
[8],sigmoid,50,10.0,64,0.7658227848101266
[8],sigmoid,50,10.0,128,0.6651694569211923
[8],sigmoid,50,10.0,256,0.749897917517354
[8],sigmoid,50,10.0,512,0.7380563495304205
[8],sigmoid,50,1.0,16,0.7215189873417721
[8],sigmoid,50,1.0,32,0.7772560228664761
[8],sigmoid,50,1.0,64,0.7844017966516945
[8],sigmoid,50,1.0,128,0.7631686402613311
[8],sigmoid,50,1.0,256,0.7615353205389955
[8],sigmoid,50,1.0,512,0.7578603511637403
[8],sigmoid,50,0.1,16,0.773172723560637
[8],sigmoid,50,0.1,32,0.768068599428338
[8],sigmoid,50,0.1,64,0.7562270314414047
[8],sigmoid,50,0.1,128,0.7574520212331564
[8],sigmoid,50,0.1,256,0.7531645569620253
[8],sigmoid,50,0.1,512,0.7394855042874643
[8],sigmoid,50,0.01,16,0.7590853409554921
[8],sigmoid,50,0.01,32,0.7505104124132299
[8],sigmoid,50,0.01,64,0.7384646794610045
[8],sigmoid,50,0.01,128,0.7109024091465904
[8],sigmoid,50,0.01,256,0.6661902817476522
[8],sigmoid,50,0.01,512,0.6651694569211923
[8],sigmoid,50,0.001,16,0.6849734585545121
[8],sigmoid,50,0.001,32,0.6649652919559004
[8],sigmoid,50,0.001,64,0.6651694569211923
[8],sigmoid,50,0.001,128,0.6651694569211923
[8],sigmoid,50,0.001,256,0.6651694569211923
[8],sigmoid,50,0.001,512,0.6406696610861576
[8],sigmoid,50,0.0001,16,0.6668027766435279
[8],sigmoid,50,0.0001,32,0.6651694569211923
[8],sigmoid,50,0.0001,64,0.6651694569211923
[8],sigmoid,50,0.0001,128,0.6651694569211923
[8],sigmoid,50,0.0001,256,0.33483054307880766
[8],sigmoid,50,0.0001,512,0.6649652919559004
[8],sigmoid,100,10.0,16,0.6653736218864843
[8],sigmoid,100,10.0,32,0.3356472029399755
[8],sigmoid,100,10.0,64,0.7474479379338506
[8],sigmoid,100,10.0,128,0.763985300122499
[8],sigmoid,100,10.0,256,0.6653736218864843
[8],sigmoid,100,10.0,512,0.7599020008166598
[8],sigmoid,100,1.0,16,0.749897917517354
[8],sigmoid,100,1.0,32,0.7897100857492855
[8],sigmoid,100,1.0,64,0.7841976316864027
[8],sigmoid,100,1.0,128,0.7844017966516945
[8],sigmoid,100,1.0,256,0.7656186198448346
[8],sigmoid,100,1.0,512,0.7676602694977542
[8],sigmoid,100,0.1,16,0.7770518579011841
[8],sigmoid,100,0.1,32,0.7717435688035933
[8],sigmoid,100,0.1,64,0.7643936300530829
[8],sigmoid,100,0.1,128,0.7580645161290323
[8],sigmoid,100,0.1,256,0.7556145365455288
[8],sigmoid,100,0.1,512,0.7562270314414047
[8],sigmoid,100,0.01,16,0.7619436504695795
[8],sigmoid,100,0.01,32,0.7580645161290323
[8],sigmoid,100,0.01,64,0.7513270722743978
[8],sigmoid,100,0.01,128,0.703960800326664
[8],sigmoid,100,0.01,256,0.7143732135565537
[8],sigmoid,100,0.01,512,0.6651694569211923
[8],sigmoid,100,0.001,16,0.7109024091465904
[8],sigmoid,100,0.001,32,0.6700694160881993
[8],sigmoid,100,0.001,64,0.6651694569211923
[8],sigmoid,100,0.001,128,0.6649652919559004
[8],sigmoid,100,0.001,256,0.6651694569211923
[8],sigmoid,100,0.001,512,0.6651694569211923
[8],sigmoid,100,0.0001,16,0.6657819518170682
[8],sigmoid,100,0.0001,32,0.6651694569211923
[8],sigmoid,100,0.0001,64,0.6651694569211923
[8],sigmoid,100,0.0001,128,0.3679052674561045
[8],sigmoid,100,0.0001,256,0.3372805226623111
[8],sigmoid,100,0.0001,512,0.33483054307880766
[8],sigmoid,250,10.0,16,0.6880359330338914
[8],sigmoid,250,10.0,32,0.7302980808493262
[8],sigmoid,250,10.0,64,0.7674561045324623
[8],sigmoid,250,10.0,128,0.7725602286647612
[8],sigmoid,250,10.0,256,0.5447121273989384
[8],sigmoid,250,10.0,512,0.7305022458146182
[8],sigmoid,250,1.0,16,0.7797060024499796
[8],sigmoid,250,1.0,32,0.7809309922417313
[8],sigmoid,250,1.0,64,0.7895059207839935
[8],sigmoid,250,1.0,128,0.7872601061657819
[8],sigmoid,250,1.0,256,0.7860351163740302
[8],sigmoid,250,1.0,512,0.7839934667211107
[8],sigmoid,250,0.1,16,0.7844017966516945
[8],sigmoid,250,0.1,32,0.7878726010616578
[8],sigmoid,250,0.1,64,0.7790935075541037
[8],sigmoid,250,0.1,128,0.7668436096365864
[8],sigmoid,250,0.1,256,0.7590853409554921
[8],sigmoid,250,0.1,512,0.7582686810943242
[8],sigmoid,250,0.01,16,0.7699060841159657
[8],sigmoid,250,0.01,32,0.7635769701919151
[8],sigmoid,250,0.01,64,0.7599020008166598
[8],sigmoid,250,0.01,128,0.7572478562678644
[8],sigmoid,250,0.01,256,0.7382605144957125
[8],sigmoid,250,0.01,512,0.7023274806043283
[8],sigmoid,250,0.001,16,0.7517354022049816
[8],sigmoid,250,0.001,32,0.7411188240097999
[8],sigmoid,250,0.001,64,0.6845651286239282
[8],sigmoid,250,0.001,128,0.6651694569211923
[8],sigmoid,250,0.001,256,0.6651694569211923
[8],sigmoid,250,0.001,512,0.6651694569211923
[8],sigmoid,250,0.0001,16,0.6645569620253164
[8],sigmoid,250,0.0001,32,0.6651694569211923
[8],sigmoid,250,0.0001,64,0.6651694569211923
[8],sigmoid,250,0.0001,128,0.6651694569211923
[8],sigmoid,250,0.0001,256,0.6653736218864843
[8],sigmoid,250,0.0001,512,0.43037974683544306
[8],relu,1,10.0,16,0.33483054307880766
[8],relu,1,10.0,32,0.33483054307880766
[8],relu,1,10.0,64,0.33483054307880766
[8],relu,1,10.0,128,0.6649652919559004
[8],relu,1,10.0,256,0.3387096774193548
[8],relu,1,10.0,512,0.6523070641077992
[8],relu,1,1.0,16,0.40261331155573704
[8],relu,1,1.0,32,0.33483054307880766
[8],relu,1,1.0,64,0.7586770110249081
[8],relu,1,1.0,128,0.7033483054307881
[8],relu,1,1.0,256,0.7335647202939976
[8],relu,1,1.0,512,0.7000816659861168
[8],relu,1,0.1,16,0.7615353205389955
[8],relu,1,0.1,32,0.7396896692527563
[8],relu,1,0.1,64,0.6980400163331972
[8],relu,1,0.1,128,0.7074316047366271
[8],relu,1,0.1,256,0.6670069416088199
[8],relu,1,0.1,512,0.6992650061249489
[8],relu,1,0.01,16,0.6651694569211923
[8],relu,1,0.01,32,0.6606778276847693
[8],relu,1,0.01,64,0.6872192731727236
[8],relu,1,0.01,128,0.6445487954267047
[8],relu,1,0.01,256,0.65761535320539
[8],relu,1,0.01,512,0.6586361780318497
[8],relu,1,0.001,16,0.6567986933442221
[8],relu,1,0.001,32,0.4663127807268273
[8],relu,1,0.001,64,0.5097999183340138
[8],relu,1,0.001,128,0.6549612086565946
[8],relu,1,0.001,256,0.34932625561453656
[8],relu,1,0.001,512,0.6414863209473254
[8],relu,1,0.0001,16,0.33401388321763986
[8],relu,1,0.0001,32,0.5336872192731728
[8],relu,1,0.0001,64,0.6651694569211923
[8],relu,1,0.0001,128,0.3824009799918334
[8],relu,1,0.0001,256,0.49979583503470804
[8],relu,1,0.0001,512,0.3954675377705186
[8],relu,10,10.0,16,0.33483054307880766
[8],relu,10,10.0,32,0.33483054307880766
[8],relu,10,10.0,64,0.33483054307880766
[8],relu,10,10.0,128,0.3448346263781135
[8],relu,10,10.0,256,0.33483054307880766
[8],relu,10,10.0,512,0.33483054307880766
[8],relu,10,1.0,16,0.7284605961616987
[8],relu,10,1.0,32,0.7155982033483055
[8],relu,10,1.0,64,0.7329522253981217
[8],relu,10,1.0,128,0.7774601878317681
[8],relu,10,1.0,256,0.7707227439771335
[8],relu,10,1.0,512,0.7470396080032666
[8],relu,10,0.1,16,0.7754185381788485
[8],relu,10,0.1,32,0.7758268681094325
[8],relu,10,0.1,64,0.7754185381788485
[8],relu,10,0.1,128,0.763985300122499
[8],relu,10,0.1,256,0.7580645161290323
[8],relu,10,0.1,512,0.7403021641486321
[8],relu,10,0.01,16,0.7652102899142507
[8],relu,10,0.01,32,0.7525520620661494
[8],relu,10,0.01,64,0.703756635361372
[8],relu,10,0.01,128,0.6686402613311556
[8],relu,10,0.01,256,0.6651694569211923
[8],relu,10,0.01,512,0.6384238464679461
[8],relu,10,0.001,16,0.6735402204981625
[8],relu,10,0.001,32,0.6651694569211923
[8],relu,10,0.001,64,0.6516945692119233
[8],relu,10,0.001,128,0.41322988975091873
[8],relu,10,0.001,256,0.6651694569211923
[8],relu,10,0.001,512,0.39342588811759904
[8],relu,10,0.0001,16,0.6163740302164149
[8],relu,10,0.0001,32,0.6461821151490404
[8],relu,10,0.0001,64,0.45916700694160884
[8],relu,10,0.0001,128,0.3129848917925684
[8],relu,10,0.0001,256,0.6866067782768477
[8],relu,10,0.0001,512,0.6651694569211923
[8],relu,25,10.0,16,0.33483054307880766
[8],relu,25,10.0,32,0.33483054307880766
[8],relu,25,10.0,64,0.6655777868517763
[8],relu,25,10.0,128,0.6651694569211923
[8],relu,25,10.0,256,0.33483054307880766
[8],relu,25,10.0,512,0.6706819109840751
[8],relu,25,1.0,16,0.721927317272356
[8],relu,25,1.0,32,0.7627603103307472
[8],relu,25,1.0,64,0.7756227031441405
[8],relu,25,1.0,128,0.7768476929358922
[8],relu,25,1.0,256,0.7746018783176807
[8],relu,25,1.0,512,0.7817476521028991
[8],relu,25,0.1,16,0.782564311964067
[8],relu,25,0.1,32,0.7799101674152715
[8],relu,25,0.1,64,0.7772560228664761
[8],relu,25,0.1,128,0.7756227031441405
[8],relu,25,0.1,256,0.768068599428338
[8],relu,25,0.1,512,0.7521437321355655
[8],relu,25,0.01,16,0.7674561045324623
[8],relu,25,0.01,32,0.7627603103307472
[8],relu,25,0.01,64,0.7601061657819518
[8],relu,25,0.01,128,0.7488770926908942
[8],relu,25,0.01,256,0.6686402613311556
[8],relu,25,0.01,512,0.6845651286239282
[8],relu,25,0.001,16,0.6668027766435279
[8],relu,25,0.001,32,0.6794610044916293
[8],relu,25,0.001,64,0.6859942833809718
[8],relu,25,0.001,128,0.6778276847692936
[8],relu,25,0.001,256,0.5961616986525112
[8],relu,25,0.001,512,0.40587995100040836
[8],relu,25,0.0001,16,0.6892609228256431
[8],relu,25,0.0001,32,0.6651694569211923
[8],relu,25,0.0001,64,0.6288280930992242
[8],relu,25,0.0001,128,0.6651694569211923
[8],relu,25,0.0001,256,0.370355247039608
[8],relu,25,0.0001,512,0.37933850551245407
[8],relu,50,10.0,16,0.33483054307880766
[8],relu,50,10.0,32,0.33483054307880766
[8],relu,50,10.0,64,0.33483054307880766
[8],relu,50,10.0,128,0.33483054307880766
[8],relu,50,10.0,256,0.6651694569211923
[8],relu,50,10.0,512,0.33483054307880766
[8],relu,50,1.0,16,0.7537770518579012
[8],relu,50,1.0,32,0.462841976316864
[8],relu,50,1.0,64,0.7441812984891792
[8],relu,50,1.0,128,0.7515312372396896
[8],relu,50,1.0,256,0.778072682727644
[8],relu,50,1.0,512,0.7837893017558187
[8],relu,50,0.1,16,0.7848101265822784
[8],relu,50,0.1,32,0.7760310330747244
[8],relu,50,0.1,64,0.7850142915475704
[8],relu,50,0.1,128,0.7768476929358922
[8],relu,50,0.1,256,0.7739893834218048
[8],relu,50,0.1,512,0.7658227848101266
[8],relu,50,0.01,16,0.7856267864434463
[8],relu,50,0.01,32,0.7676602694977542
[8],relu,50,0.01,64,0.7615353205389955
[8],relu,50,0.01,128,0.7601061657819518
[8],relu,50,0.01,256,0.736014699877501
[8],relu,50,0.01,512,0.6774193548387096
[8],relu,50,0.001,16,0.7333605553287056
[8],relu,50,0.001,32,0.7004899959167007
[8],relu,50,0.001,64,0.7158023683135973
[8],relu,50,0.001,128,0.6535320538995508
[8],relu,50,0.001,256,0.6469987750102082
[8],relu,50,0.001,512,0.6639444671294406
[8],relu,50,0.0001,16,0.6651694569211923
[8],relu,50,0.0001,32,0.5818701510820743
[8],relu,50,0.0001,64,0.3364638628011433
[8],relu,50,0.0001,128,0.34279297672519393
[8],relu,50,0.0001,256,0.5291955900367497
[8],relu,50,0.0001,512,0.46753777051857903
[8],relu,100,10.0,16,0.33483054307880766
[8],relu,100,10.0,32,0.33483054307880766
[8],relu,100,10.0,64,0.33483054307880766
[8],relu,100,10.0,128,0.6651694569211923
[8],relu,100,10.0,256,0.6721110657411188
[8],relu,100,10.0,512,0.6651694569211923
[8],relu,100,1.0,16,0.5812576561861984
[8],relu,100,1.0,32,0.7676602694977542
[8],relu,100,1.0,64,0.7827684769293589
[8],relu,100,1.0,128,0.7674561045324623
[8],relu,100,1.0,256,0.7797060024499796
[8],relu,100,1.0,512,0.7899142507145773
[8],relu,100,0.1,16,0.7662311147407105
[8],relu,100,0.1,32,0.7733768885259289
[8],relu,100,0.1,64,0.7844017966516945
[8],relu,100,0.1,128,0.782155982033483
[8],relu,100,0.1,256,0.7803184973458555
[8],relu,100,0.1,512,0.7701102490812577
[8],relu,100,0.01,16,0.7815434871376072
[8],relu,100,0.01,32,0.7774601878317681
[8],relu,100,0.01,64,0.7694977541853818
[8],relu,100,0.01,128,0.7666394446712944
[8],relu,100,0.01,256,0.7601061657819518
[8],relu,100,0.01,512,0.735810534912209
[8],relu,100,0.001,16,0.7619436504695795
[8],relu,100,0.001,32,0.7211106574111883
[8],relu,100,0.001,64,0.7276439363005308
[8],relu,100,0.001,128,0.6651694569211923
[8],relu,100,0.001,256,0.6776235198040016
[8],relu,100,0.001,512,0.6661902817476522
[8],relu,100,0.0001,16,0.6690485912617394
[8],relu,100,0.0001,32,0.6696610861576153
[8],relu,100,0.0001,64,0.41792568395263374
[8],relu,100,0.0001,128,0.3401388321763985
[8],relu,100,0.0001,256,0.6429154757043691
[8],relu,100,0.0001,512,0.3999591670069416
[8],relu,250,10.0,16,0.33483054307880766
[8],relu,250,10.0,32,0.33483054307880766
[8],relu,250,10.0,64,0.3387096774193548
[8],relu,250,10.0,128,0.6651694569211923
[8],relu,250,10.0,256,0.34381380155165375
[8],relu,250,10.0,512,0.6655777868517763
[8],relu,250,1.0,16,0.7327480604328297
[8],relu,250,1.0,32,0.750306247447938
[8],relu,250,1.0,64,0.7588811759902001
[8],relu,250,1.0,128,0.7770518579011841
[8],relu,250,1.0,256,0.7697019191506738
[8],relu,250,1.0,512,0.7813393221723153
[8],relu,250,0.1,16,0.7866476112699061
[8],relu,250,0.1,32,0.7876684360963658
[8],relu,250,0.1,64,0.7858309514087383
[8],relu,250,0.1,128,0.7913434054716211
[8],relu,250,0.1,256,0.7770518579011841
[8],relu,250,0.1,512,0.7811351572070233
[8],relu,250,0.01,16,0.7839934667211107
[8],relu,250,0.01,32,0.7882809309922417
[8],relu,250,0.01,64,0.7819518170681911
[8],relu,250,0.01,128,0.7807268272764394
[8],relu,250,0.01,256,0.7713352388730094
[8],relu,250,0.01,512,0.7650061249489588
[8],relu,250,0.001,16,0.7690894242547979
[8],relu,250,0.001,32,0.76827276439363
[8],relu,250,0.001,64,0.7480604328297265
[8],relu,250,0.001,128,0.7260106165781952
[8],relu,250,0.001,256,0.6670069416088199
[8],relu,250,0.001,512,0.6766026949775419
[8],relu,250,0.0001,16,0.7017149857084525
[8],relu,250,0.0001,32,0.6872192731727236
[8],relu,250,0.0001,64,0.6737443854634545
[8],relu,250,0.0001,128,0.6676194365046958
[8],relu,250,0.0001,256,0.6651694569211923
[8],relu,250,0.0001,512,0.6661902817476522
[8],softmax,1,10.0,16,0.33483054307880766
[8],softmax,1,10.0,32,0.47162106982441815
[8],softmax,1,10.0,64,0.6651694569211923
[8],softmax,1,10.0,128,0.5432829726418946
[8],softmax,1,10.0,256,0.6651694569211923
[8],softmax,1,10.0,512,0.6651694569211923
[8],softmax,1,1.0,16,0.7325438954675377
[8],softmax,1,1.0,32,0.7284605961616987
[8],softmax,1,1.0,64,0.7415271539403838
[8],softmax,1,1.0,128,0.6651694569211923
[8],softmax,1,1.0,256,0.6651694569211923
[8],softmax,1,1.0,512,0.6651694569211923
[8],softmax,1,0.1,16,0.6659861167823602
[8],softmax,1,0.1,32,0.666394446712944
[8],softmax,1,0.1,64,0.6651694569211923
[8],softmax,1,0.1,128,0.6651694569211923
[8],softmax,1,0.1,256,0.6659861167823602
[8],softmax,1,0.1,512,0.6651694569211923
[8],softmax,1,0.01,16,0.6651694569211923
[8],softmax,1,0.01,32,0.6651694569211923
[8],softmax,1,0.01,64,0.6651694569211923
[8],softmax,1,0.01,128,0.6651694569211923
[8],softmax,1,0.01,256,0.6496529195590037
[8],softmax,1,0.01,512,0.5655369538587178
[8],softmax,1,0.001,16,0.6653736218864843
[8],softmax,1,0.001,32,0.5465496120865659
[8],softmax,1,0.001,64,0.3211514904042466
[8],softmax,1,0.001,128,0.6651694569211923
[8],softmax,1,0.001,256,0.6651694569211923
[8],softmax,1,0.001,512,0.33544303797468356
[8],softmax,1,0.0001,16,0.666394446712944
[8],softmax,1,0.0001,32,0.5688035933033891
[8],softmax,1,0.0001,64,0.6651694569211923
[8],softmax,1,0.0001,128,0.32645977950183747
[8],softmax,1,0.0001,256,0.33544303797468356
[8],softmax,1,0.0001,512,0.6659861167823602
[8],softmax,10,10.0,16,0.33483054307880766
[8],softmax,10,10.0,32,0.33483054307880766
[8],softmax,10,10.0,64,0.7311147407104941
[8],softmax,10,10.0,128,0.6651694569211923
[8],softmax,10,10.0,256,0.6414863209473254
[8],softmax,10,10.0,512,0.6186198448346264
[8],softmax,10,1.0,16,0.7047774601878317
[8],softmax,10,1.0,32,0.7750102082482646
[8],softmax,10,1.0,64,0.7741935483870968
[8],softmax,10,1.0,128,0.764189465087791
[8],softmax,10,1.0,256,0.7707227439771335
[8],softmax,10,1.0,512,0.7568395263372806
[8],softmax,10,0.1,16,0.7656186198448346
[8],softmax,10,0.1,32,0.7652102899142507
[8],softmax,10,0.1,64,0.735810534912209
[8],softmax,10,0.1,128,0.6710902409146591
[8],softmax,10,0.1,256,0.6692527562270314
[8],softmax,10,0.1,512,0.6651694569211923
[8],softmax,10,0.01,16,0.6845651286239282
[8],softmax,10,0.01,32,0.6651694569211923
[8],softmax,10,0.01,64,0.6651694569211923
[8],softmax,10,0.01,128,0.6651694569211923
[8],softmax,10,0.01,256,0.6651694569211923
[8],softmax,10,0.01,512,0.6651694569211923
[8],softmax,10,0.001,16,0.6651694569211923
[8],softmax,10,0.001,32,0.6651694569211923
[8],softmax,10,0.001,64,0.6651694569211923
[8],softmax,10,0.001,128,0.33483054307880766
[8],softmax,10,0.001,256,0.3350347080440996
[8],softmax,10,0.001,512,0.6586361780318497
[8],softmax,10,0.0001,16,0.3783176806859943
[8],softmax,10,0.0001,32,0.33483054307880766
[8],softmax,10,0.0001,64,0.6641486320947325
[8],softmax,10,0.0001,128,0.6647611269906084
[8],softmax,10,0.0001,256,0.3342180481829318
[8],softmax,10,0.0001,512,0.33483054307880766
[8],softmax,25,10.0,16,0.33483054307880766
[8],softmax,25,10.0,32,0.33483054307880766
[8],softmax,25,10.0,64,0.6651694569211923
[8],softmax,25,10.0,128,0.7256022866476113
[8],softmax,25,10.0,256,0.6233156390363414
[8],softmax,25,10.0,512,0.5659452837893018
[8],softmax,25,1.0,16,0.7280522662311147
[8],softmax,25,1.0,32,0.7117190690077583
[8],softmax,25,1.0,64,0.77766435279706
[8],softmax,25,1.0,128,0.7803184973458555
[8],softmax,25,1.0,256,0.7707227439771335
[8],softmax,25,1.0,512,0.7631686402613311
[8],softmax,25,0.1,16,0.7811351572070233
[8],softmax,25,0.1,32,0.768068599428338
[8],softmax,25,0.1,64,0.7727643936300531
[8],softmax,25,0.1,128,0.7550020416496529
[8],softmax,25,0.1,256,0.7347897100857493
[8],softmax,25,0.1,512,0.6651694569211923
[8],softmax,25,0.01,16,0.7119232339730502
[8],softmax,25,0.01,32,0.6651694569211923
[8],softmax,25,0.01,64,0.6649652919559004
[8],softmax,25,0.01,128,0.6651694569211923
[8],softmax,25,0.01,256,0.6651694569211923
[8],softmax,25,0.01,512,0.6651694569211923
[8],softmax,25,0.001,16,0.6651694569211923
[8],softmax,25,0.001,32,0.6651694569211923
[8],softmax,25,0.001,64,0.6651694569211923
[8],softmax,25,0.001,128,0.6651694569211923
[8],softmax,25,0.001,256,0.6651694569211923
[8],softmax,25,0.001,512,0.6651694569211923
[8],softmax,25,0.0001,16,0.6649652919559004
[8],softmax,25,0.0001,32,0.6631278072682728
[8],softmax,25,0.0001,64,0.4222131482237648
[8],softmax,25,0.0001,128,0.6651694569211923
[8],softmax,25,0.0001,256,0.6670069416088199
[8],softmax,25,0.0001,512,0.6598611678236015
[8],softmax,50,10.0,16,0.6212739893834218
[8],softmax,50,10.0,32,0.33483054307880766
[8],softmax,50,10.0,64,0.7850142915475704
[8],softmax,50,10.0,128,0.708044099632503
[8],softmax,50,10.0,256,0.7754185381788485
[8],softmax,50,10.0,512,0.7160065332788893
[8],softmax,50,1.0,16,0.7123315639036342
[8],softmax,50,1.0,32,0.782155982033483
[8],softmax,50,1.0,64,0.7905267456104532
[8],softmax,50,1.0,128,0.7805226623111474
[8],softmax,50,1.0,256,0.7692935892200898
[8],softmax,50,1.0,512,0.7750102082482646
[8],softmax,50,0.1,16,0.7807268272764394
[8],softmax,50,0.1,32,0.7784810126582279
[8],softmax,50,0.1,64,0.7635769701919151
[8],softmax,50,0.1,128,0.764189465087791
[8],softmax,50,0.1,256,0.7476521028991425
[8],softmax,50,0.1,512,0.7135565536953858
[8],softmax,50,0.01,16,0.7670477746018783
[8],softmax,50,0.01,32,0.7341772151898734
[8],softmax,50,0.01,64,0.6743568803593304
[8],softmax,50,0.01,128,0.6651694569211923
[8],softmax,50,0.01,256,0.6651694569211923
[8],softmax,50,0.01,512,0.6651694569211923
[8],softmax,50,0.001,16,0.6651694569211923
[8],softmax,50,0.001,32,0.6651694569211923
[8],softmax,50,0.001,64,0.6651694569211923
[8],softmax,50,0.001,128,0.6651694569211923
[8],softmax,50,0.001,256,0.39363005308289095
[8],softmax,50,0.001,512,0.33258472846059617
[8],softmax,50,0.0001,16,0.6651694569211923
[8],softmax,50,0.0001,32,0.6651694569211923
[8],softmax,50,0.0001,64,0.35157207023274806
[8],softmax,50,0.0001,128,0.6651694569211923
[8],softmax,50,0.0001,256,0.6651694569211923
[8],softmax,50,0.0001,512,0.3346263781135157
[8],softmax,100,10.0,16,0.6651694569211923
[8],softmax,100,10.0,32,0.33483054307880766
[8],softmax,100,10.0,64,0.6651694569211923
[8],softmax,100,10.0,128,0.7225398121682319
[8],softmax,100,10.0,256,0.7743977133523887
[8],softmax,100,10.0,512,0.6651694569211923
[8],softmax,100,1.0,16,0.7266231114740711
[8],softmax,100,1.0,32,0.79644752960392
[8],softmax,100,1.0,64,0.7901184156798693
[8],softmax,100,1.0,128,0.7872601061657819
[8],softmax,100,1.0,256,0.7786851776235199
[8],softmax,100,1.0,512,0.7799101674152715
[8],softmax,100,0.1,16,0.7850142915475704
[8],softmax,100,0.1,32,0.7799101674152715
[8],softmax,100,0.1,64,0.782360146998775
[8],softmax,100,0.1,128,0.7746018783176807
[8],softmax,100,0.1,256,0.7629644752960392
[8],softmax,100,0.1,512,0.7492854226214781
[8],softmax,100,0.01,16,0.773172723560637
[8],softmax,100,0.01,32,0.7645977950183749
[8],softmax,100,0.01,64,0.7574520212331564
[8],softmax,100,0.01,128,0.69416088199265
[8],softmax,100,0.01,256,0.6651694569211923
[8],softmax,100,0.01,512,0.6651694569211923
[8],softmax,100,0.001,16,0.7213148223764801
[8],softmax,100,0.001,32,0.6651694569211923
[8],softmax,100,0.001,64,0.6651694569211923
[8],softmax,100,0.001,128,0.6651694569211923
[8],softmax,100,0.001,256,0.6645569620253164
[8],softmax,100,0.001,512,0.6651694569211923
[8],softmax,100,0.0001,16,0.6651694569211923
[8],softmax,100,0.0001,32,0.6651694569211923
[8],softmax,100,0.0001,64,0.3323805634953042
[8],softmax,100,0.0001,128,0.6651694569211923
[8],softmax,100,0.0001,256,0.6241322988975092
[8],softmax,100,0.0001,512,0.32441812984891794
[8],softmax,250,10.0,16,0.7325438954675377
[8],softmax,250,10.0,32,0.6651694569211923
[8],softmax,250,10.0,64,0.7774601878317681
[8],softmax,250,10.0,128,0.79644752960392
[8],softmax,250,10.0,256,0.8035933033891384
[8],softmax,250,10.0,512,0.7784810126582279
[8],softmax,250,1.0,16,0.7952225398121683
[8],softmax,250,1.0,32,0.7621478154348714
[8],softmax,250,1.0,64,0.7903225806451613
[8],softmax,250,1.0,128,0.7935892200898326
[8],softmax,250,1.0,256,0.7844017966516945
[8],softmax,250,1.0,512,0.7839934667211107
[8],softmax,250,0.1,16,0.791547570436913
[8],softmax,250,0.1,32,0.7854226214781543
[8],softmax,250,0.1,64,0.7811351572070233
[8],softmax,250,0.1,128,0.7792976725193956
[8],softmax,250,0.1,256,0.7758268681094325
[8],softmax,250,0.1,512,0.7723560636994692
[8],softmax,250,0.01,16,0.7792976725193956
[8],softmax,250,0.01,32,0.7735810534912209
[8],softmax,250,0.01,64,0.7627603103307472
[8],softmax,250,0.01,128,0.7574520212331564
[8],softmax,250,0.01,256,0.7131482237648019
[8],softmax,250,0.01,512,0.6651694569211923
[8],softmax,250,0.001,16,0.749897917517354
[8],softmax,250,0.001,32,0.7004899959167007
[8],softmax,250,0.001,64,0.6651694569211923
[8],softmax,250,0.001,128,0.6651694569211923
[8],softmax,250,0.001,256,0.6651694569211923
[8],softmax,250,0.001,512,0.6651694569211923
[8],softmax,250,0.0001,16,0.6651694569211923
[8],softmax,250,0.0001,32,0.6651694569211923
[8],softmax,250,0.0001,64,0.6651694569211923
[8],softmax,250,0.0001,128,0.6651694569211923
[8],softmax,250,0.0001,256,0.6645569620253164
[8],softmax,250,0.0001,512,0.33483054307880766
[8],tanh,1,10.0,16,0.6376071866067783
[8],tanh,1,10.0,32,0.6278072682727643
[8],tanh,1,10.0,64,0.6598611678236015
[8],tanh,1,10.0,128,0.7021233156390363
[8],tanh,1,10.0,256,0.7102899142507145
[8],tanh,1,10.0,512,0.6194365046957943
[8],tanh,1,1.0,16,0.7560228664761127
[8],tanh,1,1.0,32,0.6570028583095141
