hidden_layers,activation_fn,epochs,learning_rate,batch_size,accuracy
[4],linear,50,0.1,16,0.7484687627603104
[4],linear,50,0.1,32,0.750306247447938
[4],linear,50,0.1,64,0.750306247447938
[4],linear,50,0.1,128,0.7552062066149449
[4],linear,50,0.1,256,0.7505104124132299
[4],linear,50,0.1,512,0.749897917517354
[4],linear,50,0.01,16,0.7478562678644345
[4],linear,50,0.01,32,0.7511229073091058
[4],linear,50,0.01,64,0.7533687219273173
[4],linear,50,0.01,128,0.749897917517354
[4],linear,50,0.01,256,0.7484687627603104
[4],linear,50,0.01,512,0.7286647611269906
[4],linear,50,0.001,16,0.7437729685585953
[4],linear,50,0.001,32,0.7288689260922826
[4],linear,50,0.001,64,0.6829318089015924
[4],linear,50,0.001,128,0.6921192323397305
[4],linear,50,0.001,256,0.6651694569211923
[4],linear,50,0.001,512,0.6118824009799918
[4],linear,50,0.0001,16,0.703756635361372
[4],linear,50,0.0001,32,0.5759493670886076
[4],linear,50,0.0001,64,0.5977950183748468
[4],linear,50,0.0001,128,0.4977541853817885
[4],linear,50,0.0001,256,0.6408738260514496
[4],linear,50,0.0001,512,0.37933850551245407
[4],linear,100,10.0,16,0.33483054307880766
[4],linear,100,10.0,32,0.33483054307880766
[4],linear,100,10.0,64,0.33483054307880766
[4],linear,100,10.0,128,0.33483054307880766
[4],linear,100,10.0,256,0.33483054307880766
[4],linear,100,10.0,512,0.33483054307880766
[4],linear,100,1.0,16,0.7445896284197632
[4],linear,100,1.0,32,0.7184565128623928
[4],linear,100,1.0,64,0.7421396488362597
[4],linear,100,1.0,128,0.7570436913025724
[4],linear,100,1.0,256,0.7605144957125357
[4],linear,100,1.0,512,0.7556145365455288
[4],linear,100,0.1,16,0.750102082482646
[4],linear,100,0.1,32,0.7494895875867701
[4],linear,100,0.1,64,0.7531645569620253
[4],linear,100,0.1,128,0.7537770518579012
[4],linear,100,0.1,256,0.754185381788485
[4],linear,100,0.1,512,0.7494895875867701
[4],linear,100,0.01,16,0.7539812168231932
[4],linear,100,0.01,32,0.7484687627603104
[4],linear,100,0.01,64,0.754389546753777
[4],linear,100,0.01,128,0.7527562270314414
[4],linear,100,0.01,256,0.7486729277256022
[4],linear,100,0.01,512,0.7325438954675377
[4],linear,100,0.001,16,0.7523478971008575
[4],linear,100,0.001,32,0.7517354022049816
[4],linear,100,0.001,64,0.726827276439363
[4],linear,100,0.001,128,0.6935483870967742
[4],linear,100,0.001,256,0.6808901592486729
[4],linear,100,0.001,512,0.6843609636586362
[4],linear,100,0.0001,16,0.7027358105349122
[4],linear,100,0.0001,32,0.708044099632503
[4],linear,100,0.0001,64,0.6282155982033483
[4],linear,100,0.0001,128,0.5443037974683544
[4],linear,100,0.0001,256,0.6855859534503879
[4],linear,100,0.0001,512,0.5502245814618212
[4],linear,250,10.0,16,0.33483054307880766
[4],linear,250,10.0,32,0.33483054307880766
[4],linear,250,10.0,64,0.33483054307880766
[4],linear,250,10.0,128,0.33483054307880766
[4],linear,250,10.0,256,0.33483054307880766
[4],linear,250,10.0,512,0.33483054307880766
[4],linear,250,1.0,16,0.6392405063291139
[4],linear,250,1.0,32,0.7409146590445079
[4],linear,250,1.0,64,0.7447937933850551
[4],linear,250,1.0,128,0.7529603919967334
[4],linear,250,1.0,256,0.7539812168231932
[4],linear,250,1.0,512,0.7519395671702735
[4],linear,250,0.1,16,0.749693752552062
