hidden_layers,activation_fn,epochs,learning_rate,batch_size,mse
[4],softmax,10,0.1,256,0.017178785
[4],softmax,10,0.1,512,0.019009287
[4],softmax,10,0.01,16,0.01716911
[4],softmax,10,0.01,32,0.017963314
[4],softmax,10,0.01,64,0.02038742
[4],softmax,10,0.01,128,0.030180588
[4],softmax,10,0.01,256,0.029012656
[4],softmax,10,0.01,512,0.024037404
[4],softmax,10,0.001,16,0.02172481
[4],softmax,10,0.001,32,0.022525867
[4],softmax,10,0.001,64,0.025654808
[4],softmax,10,0.001,128,0.028093671
[4],softmax,10,0.001,256,0.019196903
[4],softmax,10,0.001,512,0.13479678
[4],softmax,10,0.0001,16,0.16649063
[4],softmax,10,0.0001,32,0.023275975
[4],softmax,10,0.0001,64,0.20816398
[4],softmax,10,0.0001,128,0.027441185
[4],softmax,10,0.0001,256,0.31372395
[4],softmax,10,0.0001,512,0.6837787
[4],softmax,25,10.0,16,
[4],softmax,25,10.0,32,
[4],softmax,25,10.0,64,
[4],softmax,25,10.0,128,
[4],softmax,25,10.0,256,
[4],softmax,25,10.0,512,
[4],softmax,25,1.0,16,
[4],softmax,25,1.0,32,
[4],softmax,25,1.0,64,
[4],softmax,25,1.0,128,
[4],softmax,25,1.0,256,
[4],softmax,25,1.0,512,
[4],softmax,25,0.1,16,0.015096187
[4],softmax,25,0.1,32,0.015525697
[4],softmax,25,0.1,64,0.015527639
[4],softmax,25,0.1,128,0.016092746
[4],softmax,25,0.1,256,0.016919948
[4],softmax,25,0.1,512,0.019230297
[4],softmax,25,0.01,16,0.016540684
[4],softmax,25,0.01,32,0.017394023
[4],softmax,25,0.01,64,0.016856452
[4],softmax,25,0.01,128,0.019333504
[4],softmax,25,0.01,256,0.021595014
[4],softmax,25,0.01,512,0.023538133
[4],softmax,25,0.001,16,0.02293062
[4],softmax,25,0.001,32,0.022259803
[4],softmax,25,0.001,64,0.025342505
[4],softmax,25,0.001,128,0.033360332
[4],softmax,25,0.001,256,0.02997309
[4],softmax,25,0.001,512,0.040458385
[4],softmax,25,0.0001,16,0.025615824
[4],softmax,25,0.0001,32,0.061565608
[4],softmax,25,0.0001,64,0.25928408
[4],softmax,25,0.0001,128,0.2616067
[4],softmax,25,0.0001,256,0.6142117
[4],softmax,25,0.0001,512,0.107607625
[4],softmax,50,10.0,16,
[4],softmax,50,10.0,32,
[4],softmax,50,10.0,64,
[4],softmax,50,10.0,128,
[4],softmax,50,10.0,256,
[4],softmax,50,10.0,512,
[4],softmax,50,1.0,16,
[4],softmax,50,1.0,32,
[4],softmax,50,1.0,64,
[4],softmax,50,1.0,128,
[4],softmax,50,1.0,256,
[4],softmax,50,1.0,512,
[4],softmax,50,0.1,16,0.014608029
[4],softmax,50,0.1,32,0.014745563
[4],softmax,50,0.1,64,0.015740497
[4],softmax,50,0.1,128,0.015197458
[4],softmax,50,0.1,256,0.016376493
[4],softmax,50,0.1,512,0.016539734
[4],softmax,50,0.01,16,0.015831916
[4],softmax,50,0.01,32,0.01561911
[4],softmax,50,0.01,64,0.016250711
[4],softmax,50,0.01,128,0.02104708
[4],softmax,50,0.01,256,0.02274713
[4],softmax,50,0.01,512,0.022231363
[4],softmax,50,0.001,16,0.017321467
[4],softmax,50,0.001,32,0.024381533
[4],softmax,50,0.001,64,0.02514881
[4],softmax,50,0.001,128,0.019748485
[4],softmax,50,0.001,256,0.028029526
[4],softmax,50,0.001,512,0.03297157
[4],softmax,50,0.0001,16,0.026527308
[4],softmax,50,0.0001,32,0.027684396
[4],softmax,50,0.0001,64,0.19664346
[4],softmax,50,0.0001,128,0.029466435
[4],softmax,50,0.0001,256,0.5662333
[4],softmax,50,0.0001,512,0.03778393
[4],softmax,100,10.0,16,
[4],softmax,100,10.0,32,
[4],softmax,100,10.0,64,
[4],softmax,100,10.0,128,
[4],softmax,100,10.0,256,
[4],softmax,100,10.0,512,
[4],softmax,100,1.0,16,
[4],softmax,100,1.0,32,
[4],softmax,100,1.0,64,
[4],softmax,100,1.0,128,
[4],softmax,100,1.0,256,
[4],softmax,100,1.0,512,
[4],softmax,100,0.1,16,0.014852979
[4],softmax,100,0.1,32,0.015784273
[4],softmax,100,0.1,64,0.014962914
[4],softmax,100,0.1,128,0.01503324
[4],softmax,100,0.1,256,0.01551704
[4],softmax,100,0.1,512,0.015819
[4],softmax,100,0.01,16,0.01482896
[4],softmax,100,0.01,32,0.015671011
[4],softmax,100,0.01,64,0.016272048
[4],softmax,100,0.01,128,0.017167907
[4],softmax,100,0.01,256,0.019579
[4],softmax,100,0.01,512,0.017837176
[4],softmax,100,0.001,16,0.018527139
[4],softmax,100,0.001,32,0.018374987
[4],softmax,100,0.001,64,0.020592254
[4],softmax,100,0.001,128,0.021736188
[4],softmax,100,0.001,256,0.020619413
[4],softmax,100,0.001,512,0.027116364
[4],softmax,100,0.0001,16,0.020638915
[4],softmax,100,0.0001,32,0.027849559
[4],softmax,100,0.0001,64,0.024690194
[4],softmax,100,0.0001,128,0.09653757
[4],softmax,100,0.0001,256,0.026323367
[4],softmax,100,0.0001,512,0.25536948
[4],softmax,250,10.0,16,
[4],softmax,250,10.0,32,
[4],softmax,250,10.0,64,
[4],softmax,250,10.0,128,
[4],softmax,250,10.0,256,
[4],softmax,250,10.0,512,
[4],softmax,250,1.0,16,
[4],softmax,250,1.0,32,
[4],softmax,250,1.0,64,
[4],softmax,250,1.0,128,
[4],softmax,250,1.0,256,
[4],softmax,250,1.0,512,
[4],softmax,250,0.1,16,0.014094542
[4],softmax,250,0.1,32,0.01523477
[4],softmax,250,0.1,64,0.014114925
[4],softmax,250,0.1,128,0.014189879
[4],softmax,250,0.1,256,0.014417944
[4],softmax,250,0.1,512,0.015114831
[4],softmax,250,0.01,16,0.014374182
[4],softmax,250,0.01,32,0.015406794
[4],softmax,250,0.01,64,0.015818065
[4],softmax,250,0.01,128,0.016040044
[4],softmax,250,0.01,256,0.015849344
[4],softmax,250,0.01,512,0.01754096
[4],softmax,250,0.001,16,0.017067851
[4],softmax,250,0.001,32,0.017298184
[4],softmax,250,0.001,64,0.017178217
[4],softmax,250,0.001,128,0.02248356
[4],softmax,250,0.001,256,0.020186475
[4],softmax,250,0.001,512,0.021747597
[4],softmax,250,0.0001,16,0.022258611
[4],softmax,250,0.0001,32,0.023775987
[4],softmax,250,0.0001,64,0.020896113
[4],softmax,250,0.0001,128,0.024449838
[4],softmax,250,0.0001,256,0.059595644
[4],softmax,250,0.0001,512,0.07935813
[4],tanh,1,10.0,16,
[4],tanh,1,10.0,32,
[4],tanh,1,10.0,64,
[4],tanh,1,10.0,128,
[4],tanh,1,10.0,256,
[4],tanh,1,10.0,512,3.9564863e+30
[4],tanh,1,1.0,16,
[4],tanh,1,1.0,32,
[4],tanh,1,1.0,64,
[4],tanh,1,1.0,128,0.7524208
[4],tanh,1,1.0,256,31981718000.0
[4],tanh,1,1.0,512,174950.11
[4],tanh,1,0.1,16,0.018728847
[4],tanh,1,0.1,32,0.015879313
[4],tanh,1,0.1,64,0.017440401
[4],tanh,1,0.1,128,0.01893369
[4],tanh,1,0.1,256,0.024752334
[4],tanh,1,0.1,512,0.02990378
[4],tanh,1,0.01,16,0.022494277
[4],tanh,1,0.01,32,0.02955959
[4],tanh,1,0.01,64,0.038119223
[4],tanh,1,0.01,128,0.10329955
[4],tanh,1,0.01,256,0.04504448
[4],tanh,1,0.01,512,0.60377735
[4],tanh,1,0.001,16,0.120550156
[4],tanh,1,0.001,32,0.12479462
[4],tanh,1,0.001,64,0.40842894
[4],tanh,1,0.001,128,0.04489889
[4],tanh,1,0.001,256,0.1646001
[4],tanh,1,0.001,512,0.8037931
[4],tanh,1,0.0001,16,0.10764462
[4],tanh,1,0.0001,32,0.04137459
[4],tanh,1,0.0001,64,0.5279057
[4],tanh,1,0.0001,128,0.23842618
[4],tanh,1,0.0001,256,0.15898651
[4],tanh,1,0.0001,512,0.18729743
[4],tanh,10,10.0,16,
[4],tanh,10,10.0,32,
[4],tanh,10,10.0,64,
[4],tanh,10,10.0,128,
[4],tanh,10,10.0,256,
[4],tanh,10,10.0,512,
[4],tanh,10,1.0,16,
[4],tanh,10,1.0,32,
[4],tanh,10,1.0,64,
[4],tanh,10,1.0,128,
[4],tanh,10,1.0,256,
[4],tanh,10,1.0,512,
[4],tanh,10,0.1,16,0.01569004
[4],tanh,10,0.1,32,0.015674446
[4],tanh,10,0.1,64,0.0153553765
[4],tanh,10,0.1,128,0.015687207
[4],tanh,10,0.1,256,0.016362917
[4],tanh,10,0.1,512,0.016409615
[4],tanh,10,0.01,16,0.017553087
[4],tanh,10,0.01,32,0.018132335
[4],tanh,10,0.01,64,0.018606214
[4],tanh,10,0.01,128,0.019625733
[4],tanh,10,0.01,256,0.02796166
[4],tanh,10,0.01,512,0.03544561
[4],tanh,10,0.001,16,0.022890968
[4],tanh,10,0.001,32,0.028655034
[4],tanh,10,0.001,64,0.055172935
[4],tanh,10,0.001,128,0.08784031
[4],tanh,10,0.001,256,0.18829985
[4],tanh,10,0.001,512,0.07318723
[4],tanh,10,0.0001,16,0.1767301
[4],tanh,10,0.0001,32,0.12043181
[4],tanh,10,0.0001,64,0.42997602
[4],tanh,10,0.0001,128,0.058826752
[4],tanh,10,0.0001,256,0.75848705
[4],tanh,10,0.0001,512,0.29287747
[4],tanh,25,10.0,16,
[4],tanh,25,10.0,32,
[4],tanh,25,10.0,64,
[4],tanh,25,10.0,128,
[4],tanh,25,10.0,256,
[4],tanh,25,10.0,512,
[4],tanh,25,1.0,16,
[4],tanh,25,1.0,32,
[4],tanh,25,1.0,64,
[4],tanh,25,1.0,128,
[4],tanh,25,1.0,256,
[4],tanh,25,1.0,512,
[4],tanh,25,0.1,16,0.0152593
[4],tanh,25,0.1,32,0.014928273
[4],tanh,25,0.1,64,0.015537531
[4],tanh,25,0.1,128,0.015392853
[4],tanh,25,0.1,256,0.015924238
[4],tanh,25,0.1,512,0.01604634
[4],tanh,25,0.01,16,0.015702857
[4],tanh,25,0.01,32,0.015798816
[4],tanh,25,0.01,64,0.0166205
[4],tanh,25,0.01,128,0.017924355
[4],tanh,25,0.01,256,0.016945163
[4],tanh,25,0.01,512,0.021589125
[4],tanh,25,0.001,16,0.016687412
[4],tanh,25,0.001,32,0.020247897
[4],tanh,25,0.001,64,0.026001323
[4],tanh,25,0.001,128,0.029229484
[4],tanh,25,0.001,256,0.08865728
[4],tanh,25,0.001,512,0.115223385
[4],tanh,25,0.0001,16,0.046824
[4],tanh,25,0.0001,32,0.063758396
[4],tanh,25,0.0001,64,0.056677416
[4],tanh,25,0.0001,128,0.0557397
[4],tanh,25,0.0001,256,0.45231512
[4],tanh,25,0.0001,512,0.31044695
[4],tanh,50,10.0,16,
[4],tanh,50,10.0,32,
[4],tanh,50,10.0,64,
[4],tanh,50,10.0,128,
[4],tanh,50,10.0,256,
[4],tanh,50,10.0,512,
[4],tanh,50,1.0,16,
[4],tanh,50,1.0,32,
[4],tanh,50,1.0,64,
[4],tanh,50,1.0,128,
[4],tanh,50,1.0,256,
[4],tanh,50,1.0,512,
[4],tanh,50,0.1,16,0.014981178
[4],tanh,50,0.1,32,0.015404053
[4],tanh,50,0.1,64,0.014513073
[4],tanh,50,0.1,128,0.015483469
[4],tanh,50,0.1,256,0.015770353
[4],tanh,50,0.1,512,0.015983976
[4],tanh,50,0.01,16,0.01591393
[4],tanh,50,0.01,32,0.015716845
[4],tanh,50,0.01,64,0.015541653
[4],tanh,50,0.01,128,0.015634997
[4],tanh,50,0.01,256,0.016895179
[4],tanh,50,0.01,512,0.017744804
[4],tanh,50,0.001,16,0.01609035
[4],tanh,50,0.001,32,0.017047817
[4],tanh,50,0.001,64,0.021857496
[4],tanh,50,0.001,128,0.025100436
[4],tanh,50,0.001,256,0.036880076
[4],tanh,50,0.001,512,0.04711595
[4],tanh,50,0.0001,16,0.026115894
[4],tanh,50,0.0001,32,0.033174958
[4],tanh,50,0.0001,64,0.029244058
[4],tanh,50,0.0001,128,0.18568571
[4],tanh,50,0.0001,256,0.18100704
[4],tanh,50,0.0001,512,0.048458744
[4],tanh,100,10.0,16,
[4],tanh,100,10.0,32,
[4],tanh,100,10.0,64,
[4],tanh,100,10.0,128,
[4],tanh,100,10.0,256,
[4],tanh,100,10.0,512,
[4],tanh,100,1.0,16,
[4],tanh,100,1.0,32,
[4],tanh,100,1.0,64,
[4],tanh,100,1.0,128,
[4],tanh,100,1.0,256,
[4],tanh,100,1.0,512,
[4],tanh,100,0.1,16,0.015625741
[4],tanh,100,0.1,32,0.014890139
[4],tanh,100,0.1,64,0.015175264
[4],tanh,100,0.1,128,0.0152452495
[4],tanh,100,0.1,256,0.0152385365
[4],tanh,100,0.1,512,0.015973987
[4],tanh,100,0.01,16,0.014990237
[4],tanh,100,0.01,32,0.014976165
[4],tanh,100,0.01,64,0.01552186
[4],tanh,100,0.01,128,0.015647799
[4],tanh,100,0.01,256,0.0156136025
[4],tanh,100,0.01,512,0.016393077
[4],tanh,100,0.001,16,0.0163558
[4],tanh,100,0.001,32,0.015741719
[4],tanh,100,0.001,64,0.016657421
[4],tanh,100,0.001,128,0.023622015
[4],tanh,100,0.001,256,0.021355214
[4],tanh,100,0.001,512,0.03402547
[4],tanh,100,0.0001,16,0.019920437
[4],tanh,100,0.0001,32,0.03037948
[4],tanh,100,0.0001,64,0.041714907
[4],tanh,100,0.0001,128,0.13395013
[4],tanh,100,0.0001,256,0.065236524
[4],tanh,100,0.0001,512,0.1767626
[4],tanh,250,10.0,16,
[4],tanh,250,10.0,32,
[4],tanh,250,10.0,64,
[4],tanh,250,10.0,128,
[4],tanh,250,10.0,256,
[4],tanh,250,10.0,512,
[4],tanh,250,1.0,16,
[4],tanh,250,1.0,32,
[4],tanh,250,1.0,64,
[4],tanh,250,1.0,128,
[4],tanh,250,1.0,256,
[4],tanh,250,1.0,512,
[4],tanh,250,0.1,16,0.014289875
[4],tanh,250,0.1,32,0.014452107
[4],tanh,250,0.1,64,0.014064379
[4],tanh,250,0.1,128,0.014087744
[4],tanh,250,0.1,256,0.014999511
[4],tanh,250,0.1,512,0.015191044
[4],tanh,250,0.01,16,0.014299247
[4],tanh,250,0.01,32,0.014460176
[4],tanh,250,0.01,64,0.014835211
[4],tanh,250,0.01,128,0.015406642
[4],tanh,250,0.01,256,0.015633907
[4],tanh,250,0.01,512,0.016094126
[4],tanh,250,0.001,16,0.015782673
[4],tanh,250,0.001,32,0.015678648
[4],tanh,250,0.001,64,0.01640431
[4],tanh,250,0.001,128,0.018664842
[4],tanh,250,0.001,256,0.016623477
[4],tanh,250,0.001,512,0.028120702
[4],tanh,250,0.0001,16,0.016648006
[4],tanh,250,0.0001,32,0.018716794
[4],tanh,250,0.0001,64,0.024925996
[4],tanh,250,0.0001,128,0.045993805
[4],tanh,250,0.0001,256,0.15196629
[4],tanh,250,0.0001,512,0.078896575
[8],linear,1,10.0,16,
[8],linear,1,10.0,32,
[8],linear,1,10.0,64,
[8],linear,1,10.0,128,
[8],linear,1,10.0,256,
[8],linear,1,10.0,512,
[8],linear,1,1.0,16,
[8],linear,1,1.0,32,
[8],linear,1,1.0,64,
[8],linear,1,1.0,128,
[8],linear,1,1.0,256,
[8],linear,1,1.0,512,
[8],linear,1,0.1,16,0.025559867
[8],linear,1,0.1,32,0.016931321
[8],linear,1,0.1,64,0.016133908
[8],linear,1,0.1,128,0.017856466
[8],linear,1,0.1,256,0.018120123
[8],linear,1,0.1,512,0.020545226
[8],linear,1,0.01,16,0.0171496
[8],linear,1,0.01,32,0.021650044
[8],linear,1,0.01,64,0.043383602
[8],linear,1,0.01,128,0.038967695
[8],linear,1,0.01,256,0.052185513
[8],linear,1,0.01,512,0.3008875
[8],linear,1,0.001,16,0.08819817
[8],linear,1,0.001,32,0.14846444
[8],linear,1,0.001,64,0.11055985
[8],linear,1,0.001,128,0.46692133
[8],linear,1,0.001,256,0.38469824
[8],linear,1,0.001,512,0.86205965
[8],linear,1,0.0001,16,0.6071998
[8],linear,1,0.0001,32,0.59594506
[8],linear,1,0.0001,64,0.18483445
[8],linear,1,0.0001,128,0.71777546
[8],linear,1,0.0001,256,0.23016113
[8],linear,1,0.0001,512,0.48867527
[8],linear,10,10.0,16,
[8],linear,10,10.0,32,
[8],linear,10,10.0,64,
[8],linear,10,10.0,128,
[8],linear,10,10.0,256,
[8],linear,10,10.0,512,
[8],linear,10,1.0,16,
[8],linear,10,1.0,32,
[8],linear,10,1.0,64,
[8],linear,10,1.0,128,
[8],linear,10,1.0,256,
[8],linear,10,1.0,512,
[8],linear,10,0.1,16,0.01573851
[8],linear,10,0.1,32,0.01705517
[8],linear,10,0.1,64,0.015883796
[8],linear,10,0.1,128,0.015993495
[8],linear,10,0.1,256,0.016230527
[8],linear,10,0.1,512,0.01576142
[8],linear,10,0.01,16,0.015687779
[8],linear,10,0.01,32,0.01627948
[8],linear,10,0.01,64,0.015784917
[8],linear,10,0.01,128,0.016481422
[8],linear,10,0.01,256,0.01663763
[8],linear,10,0.01,512,0.034786362
[8],linear,10,0.001,16,0.01775211
[8],linear,10,0.001,32,0.037940647
[8],linear,10,0.001,64,0.03487316
[8],linear,10,0.001,128,0.092702106
[8],linear,10,0.001,256,0.24558578
[8],linear,10,0.001,512,0.11850574
[8],linear,10,0.0001,16,0.06140986
[8],linear,10,0.0001,32,0.059424005
[8],linear,10,0.0001,64,0.47243488
[8],linear,10,0.0001,128,0.40233094
[8],linear,10,0.0001,256,0.8528238
[8],linear,10,0.0001,512,0.3105886
[8],linear,25,10.0,16,
[8],linear,25,10.0,32,
[8],linear,25,10.0,64,
[8],linear,25,10.0,128,
[8],linear,25,10.0,256,
[8],linear,25,10.0,512,
[8],linear,25,1.0,16,
[8],linear,25,1.0,32,
[8],linear,25,1.0,64,
[8],linear,25,1.0,128,
[8],linear,25,1.0,256,
[8],linear,25,1.0,512,
[8],linear,25,0.1,16,0.016591169
[8],linear,25,0.1,32,0.016577033
[8],linear,25,0.1,64,0.016042951
[8],linear,25,0.1,128,0.015718548
[8],linear,25,0.1,256,0.015942117
[8],linear,25,0.1,512,0.015808396
[8],linear,25,0.01,16,0.01567848
[8],linear,25,0.01,32,0.015779655
[8],linear,25,0.01,64,0.015774716
[8],linear,25,0.01,128,0.016484786
[8],linear,25,0.01,256,0.018987399
[8],linear,25,0.01,512,0.019954542
[8],linear,25,0.001,16,0.016226273
[8],linear,25,0.001,32,0.016029911
[8],linear,25,0.001,64,0.019538745
[8],linear,25,0.001,128,0.035196763
[8],linear,25,0.001,256,0.025683265
[8],linear,25,0.001,512,0.21752518
[8],linear,25,0.0001,16,0.035399232
[8],linear,25,0.0001,32,0.05593927
[8],linear,25,0.0001,64,0.12758033
[8],linear,25,0.0001,128,0.20190652
[8],linear,25,0.0001,256,0.70908654
[8],linear,25,0.0001,512,0.11163223
[8],linear,50,10.0,16,
[8],linear,50,10.0,32,
[8],linear,50,10.0,64,
[8],linear,50,10.0,128,
[8],linear,50,10.0,256,
[8],linear,50,10.0,512,
[8],linear,50,1.0,16,
[8],linear,50,1.0,32,
[8],linear,50,1.0,64,
[8],linear,50,1.0,128,
[8],linear,50,1.0,256,
[8],linear,50,1.0,512,
[8],linear,50,0.1,16,0.016918913
[8],linear,50,0.1,32,0.020258596
[8],linear,50,0.1,64,0.015701372
[8],linear,50,0.1,128,0.015727326
[8],linear,50,0.1,256,0.01583028
[8],linear,50,0.1,512,0.015698416
[8],linear,50,0.01,16,0.015678044
[8],linear,50,0.01,32,0.015700072
[8],linear,50,0.01,64,0.015645962
[8],linear,50,0.01,128,0.015658047
[8],linear,50,0.01,256,0.016599283
[8],linear,50,0.01,512,0.017442754
[8],linear,50,0.001,16,0.015668912
[8],linear,50,0.001,32,0.016267586
[8],linear,50,0.001,64,0.018023686
[8],linear,50,0.001,128,0.020887863
[8],linear,50,0.001,256,0.029550916
[8],linear,50,0.001,512,0.0391174
[8],linear,50,0.0001,16,0.019772269
[8],linear,50,0.0001,32,0.030746482
[8],linear,50,0.0001,64,0.08289662
[8],linear,50,0.0001,128,0.24361888
[8],linear,50,0.0001,256,0.14635286
[8],linear,50,0.0001,512,0.09195754
[8],linear,100,10.0,16,
[8],linear,100,10.0,32,
[8],linear,100,10.0,64,
[8],linear,100,10.0,128,
[8],linear,100,10.0,256,
[8],linear,100,10.0,512,
[8],linear,100,1.0,16,
[8],linear,100,1.0,32,
[8],linear,100,1.0,64,
[8],linear,100,1.0,128,
[8],linear,100,1.0,256,
[8],linear,100,1.0,512,
[8],linear,100,0.1,16,0.015949456
[8],linear,100,0.1,32,0.016110688
[8],linear,100,0.1,64,0.015686354
[8],linear,100,0.1,128,0.015847342
[8],linear,100,0.1,256,0.015671318
[8],linear,100,0.1,512,0.015678614
[8],linear,100,0.01,16,0.015709637
[8],linear,100,0.01,32,0.01565971
[8],linear,100,0.01,64,0.01567099
[8],linear,100,0.01,128,0.015795395
[8],linear,100,0.01,256,0.015728557
[8],linear,100,0.01,512,0.016500495
[8],linear,100,0.001,16,0.015694126
[8],linear,100,0.001,32,0.015825316
[8],linear,100,0.001,64,0.015970554
[8],linear,100,0.001,128,0.016207991
[8],linear,100,0.001,256,0.018851211
[8],linear,100,0.001,512,0.035550315
[8],linear,100,0.0001,16,0.018311033
[8],linear,100,0.0001,32,0.021428427
[8],linear,100,0.0001,64,0.024035726
[8],linear,100,0.0001,128,0.06618953
[8],linear,100,0.0001,256,0.17847472
[8],linear,100,0.0001,512,0.3653233
[8],linear,250,10.0,16,
[8],linear,250,10.0,32,
[8],linear,250,10.0,64,
[8],linear,250,10.0,128,
[8],linear,250,10.0,256,
[8],linear,250,10.0,512,
[8],linear,250,1.0,16,
[8],linear,250,1.0,32,
[8],linear,250,1.0,64,
[8],linear,250,1.0,128,
[8],linear,250,1.0,256,
[8],linear,250,1.0,512,
[8],linear,250,0.1,16,0.016055137
[8],linear,250,0.1,32,0.017731106
[8],linear,250,0.1,64,0.015813876
[8],linear,250,0.1,128,0.01578393
[8],linear,250,0.1,256,0.01568497
[8],linear,250,0.1,512,0.015654149
[8],linear,250,0.01,16,0.01569001
[8],linear,250,0.01,32,0.015656209
[8],linear,250,0.01,64,0.01564604
[8],linear,250,0.01,128,0.015645137
[8],linear,250,0.01,256,0.015839774
[8],linear,250,0.01,512,0.015710417
[8],linear,250,0.001,16,0.015646039
[8],linear,250,0.001,32,0.015850773
[8],linear,250,0.001,64,0.015993929
[8],linear,250,0.001,128,0.015859598
[8],linear,250,0.001,256,0.016696196
[8],linear,250,0.001,512,0.019114207
[8],linear,250,0.0001,16,0.015977036
[8],linear,250,0.0001,32,0.016753122
[8],linear,250,0.0001,64,0.017982299
[8],linear,250,0.0001,128,0.029890709
[8],linear,250,0.0001,256,0.057124767
[8],linear,250,0.0001,512,0.13893051
[8],sigmoid,1,10.0,16,
[8],sigmoid,1,10.0,32,
[8],sigmoid,1,10.0,64,
[8],sigmoid,1,10.0,128,
[8],sigmoid,1,10.0,256,
[8],sigmoid,1,10.0,512,5.404992e+29
[8],sigmoid,1,1.0,16,
[8],sigmoid,1,1.0,32,
[8],sigmoid,1,1.0,64,973.9176
[8],sigmoid,1,1.0,128,2.4747072e+27
[8],sigmoid,1,1.0,256,63056464.0
[8],sigmoid,1,1.0,512,605.1562
[8],sigmoid,1,0.1,16,0.029140905
[8],sigmoid,1,0.1,32,0.024966048
[8],sigmoid,1,0.1,64,0.023235748
[8],sigmoid,1,0.1,128,0.023065856
[8],sigmoid,1,0.1,256,0.022142196
[8],sigmoid,1,0.1,512,0.022600058
[8],sigmoid,1,0.01,16,0.022497157
[8],sigmoid,1,0.01,32,0.029156674
[8],sigmoid,1,0.01,64,0.025925329
[8],sigmoid,1,0.01,128,0.03164856
[8],sigmoid,1,0.01,256,0.04226402
[8],sigmoid,1,0.01,512,0.4054956
[8],sigmoid,1,0.001,16,0.04510533
[8],sigmoid,1,0.001,32,0.03428494
[8],sigmoid,1,0.001,64,0.1375232
[8],sigmoid,1,0.001,128,0.04113617
[8],sigmoid,1,0.001,256,0.45546693
[8],sigmoid,1,0.001,512,0.03827749
[8],sigmoid,1,0.0001,16,0.24515966
[8],sigmoid,1,0.0001,32,0.06883733
[8],sigmoid,1,0.0001,64,0.7025842
[8],sigmoid,1,0.0001,128,0.4374691
[8],sigmoid,1,0.0001,256,0.026742185
[8],sigmoid,1,0.0001,512,0.18871751
[8],sigmoid,10,10.0,16,
[8],sigmoid,10,10.0,32,
[8],sigmoid,10,10.0,64,
[8],sigmoid,10,10.0,128,
[8],sigmoid,10,10.0,256,
[8],sigmoid,10,10.0,512,
[8],sigmoid,10,1.0,16,
[8],sigmoid,10,1.0,32,
[8],sigmoid,10,1.0,64,
[8],sigmoid,10,1.0,128,
[8],sigmoid,10,1.0,256,204161.72
[8],sigmoid,10,1.0,512,2807.8179
[8],sigmoid,10,0.1,16,0.016255368
[8],sigmoid,10,0.1,32,0.017664796
[8],sigmoid,10,0.1,64,0.01586778
[8],sigmoid,10,0.1,128,0.016265133
[8],sigmoid,10,0.1,256,0.01727168
[8],sigmoid,10,0.1,512,0.020687444
[8],sigmoid,10,0.01,16,0.016631966
[8],sigmoid,10,0.01,32,0.017725123
[8],sigmoid,10,0.01,64,0.020238165
[8],sigmoid,10,0.01,128,0.020595811
[8],sigmoid,10,0.01,256,0.023455903
[8],sigmoid,10,0.01,512,0.025409348
[8],sigmoid,10,0.001,16,0.025204385
[8],sigmoid,10,0.001,32,0.023352297
[8],sigmoid,10,0.001,64,0.02378544
[8],sigmoid,10,0.001,128,0.021407563
[8],sigmoid,10,0.001,256,0.059903465
[8],sigmoid,10,0.001,512,0.41480723
[8],sigmoid,10,0.0001,16,0.036473583
[8],sigmoid,10,0.0001,32,0.21687119
[8],sigmoid,10,0.0001,64,0.35062635
[8],sigmoid,10,0.0001,128,0.051423956
[8],sigmoid,10,0.0001,256,0.07495972
[8],sigmoid,10,0.0001,512,0.07221009
[8],sigmoid,25,10.0,16,
[8],sigmoid,25,10.0,32,
[8],sigmoid,25,10.0,64,
[8],sigmoid,25,10.0,128,
[8],sigmoid,25,10.0,256,
[8],sigmoid,25,10.0,512,
[8],sigmoid,25,1.0,16,
[8],sigmoid,25,1.0,32,
[8],sigmoid,25,1.0,64,
[8],sigmoid,25,1.0,128,1491.8291
[8],sigmoid,25,1.0,256,536.57166
[8],sigmoid,25,1.0,512,774.6043
[8],sigmoid,25,0.1,16,0.015400065
[8],sigmoid,25,0.1,32,0.016587647
[8],sigmoid,25,0.1,64,0.01557203
[8],sigmoid,25,0.1,128,0.015764428
[8],sigmoid,25,0.1,256,0.016590446
[8],sigmoid,25,0.1,512,0.017183637
[8],sigmoid,25,0.01,16,0.015738178
[8],sigmoid,25,0.01,32,0.018296773
[8],sigmoid,25,0.01,64,0.018059837
[8],sigmoid,25,0.01,128,0.019721037
[8],sigmoid,25,0.01,256,0.021261388
[8],sigmoid,25,0.01,512,0.026121898
[8],sigmoid,25,0.001,16,0.018170796
[8],sigmoid,25,0.001,32,0.02032586
[8],sigmoid,25,0.001,64,0.023181949
[8],sigmoid,25,0.001,128,0.02531484
[8],sigmoid,25,0.001,256,0.023749778
[8],sigmoid,25,0.001,512,0.023306418
[8],sigmoid,25,0.0001,16,0.025123365
[8],sigmoid,25,0.0001,32,0.028688548
[8],sigmoid,25,0.0001,64,0.05943454
[8],sigmoid,25,0.0001,128,0.06395868
[8],sigmoid,25,0.0001,256,0.033253606
[8],sigmoid,25,0.0001,512,0.30192903
[8],sigmoid,50,10.0,16,
[8],sigmoid,50,10.0,32,
[8],sigmoid,50,10.0,64,
[8],sigmoid,50,10.0,128,
[8],sigmoid,50,10.0,256,
[8],sigmoid,50,10.0,512,
[8],sigmoid,50,1.0,16,
