hidden_layers,activation_fn,epochs,learning_rate,batch_size,mse
[4],linear,100,1.0,32,
[4],linear,100,1.0,64,
[4],linear,100,1.0,128,
[4],linear,100,1.0,256,
[4],linear,100,1.0,512,
[4],linear,100,0.1,16,0.015721308
[4],linear,100,0.1,32,0.015973007
[4],linear,100,0.1,64,0.015838373
[4],linear,100,0.1,128,0.01603099
[4],linear,100,0.1,256,0.015887905
[4],linear,100,0.1,512,0.015693806
[4],linear,100,0.01,16,0.015693944
[4],linear,100,0.01,32,0.01578375
[4],linear,100,0.01,64,0.015653318
[4],linear,100,0.01,128,0.015645687
[4],linear,100,0.01,256,0.015730485
[4],linear,100,0.01,512,0.018161932
[4],linear,100,0.001,16,0.01590973
[4],linear,100,0.001,32,0.018848564
[4],linear,100,0.001,64,0.015791964
[4],linear,100,0.001,128,0.01612396
[4],linear,100,0.001,256,0.021317797
[4],linear,100,0.001,512,0.036717307
[4],linear,100,0.0001,16,0.018289296
[4],linear,100,0.0001,32,0.02594902
[4],linear,100,0.0001,64,0.060616955
[4],linear,100,0.0001,128,0.08551705
[4],linear,100,0.0001,256,0.24086668
[4],linear,100,0.0001,512,0.5920577
[4],linear,250,10.0,16,
[4],linear,250,10.0,32,
[4],linear,250,10.0,64,
[4],linear,250,10.0,128,
[4],linear,250,10.0,256,
[4],linear,250,10.0,512,
[4],linear,250,1.0,16,
[4],linear,250,1.0,32,
[4],linear,250,1.0,64,
[4],linear,250,1.0,128,
[4],linear,250,1.0,256,
[4],linear,250,1.0,512,
[4],linear,250,0.1,16,0.016271785
[4],linear,250,0.1,32,0.016540034
[4],linear,250,0.1,64,0.015666464
[4],linear,250,0.1,128,0.015653523
[4],linear,250,0.1,256,0.015661545
[4],linear,250,0.1,512,0.015661173
[4],linear,250,0.01,16,0.01564842
[4],linear,250,0.01,32,0.015665961
[4],linear,250,0.01,64,0.015713384
[4],linear,250,0.01,128,0.015684249
[4],linear,250,0.01,256,0.01598058
[4],linear,250,0.01,512,0.015761893
[4],linear,250,0.001,16,0.015826467
[4],linear,250,0.001,32,0.015774367
[4],linear,250,0.001,64,0.01567859
[4],linear,250,0.001,128,0.016036032
[4],linear,250,0.001,256,0.016768942
[4],linear,250,0.001,512,0.025656981
[4],linear,250,0.0001,16,0.016540624
[4],linear,250,0.0001,32,0.019329162
[4],linear,250,0.0001,64,0.01926105
[4],linear,250,0.0001,128,0.036140207
[4],linear,250,0.0001,256,0.05520818
[4],linear,250,0.0001,512,0.16638584
[4],sigmoid,1,10.0,16,
[4],sigmoid,1,10.0,32,
[4],sigmoid,1,10.0,64,
[4],sigmoid,1,10.0,128,
[4],sigmoid,1,10.0,256,
[4],sigmoid,1,10.0,512,3.223567e+27
[4],sigmoid,1,1.0,16,
[4],sigmoid,1,1.0,32,175.08311
[4],sigmoid,1,1.0,64,1652.7866
[4],sigmoid,1,1.0,128,131.20468
[4],sigmoid,1,1.0,256,96.83937
[4],sigmoid,1,1.0,512,421.56454
